mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_layers,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38.57691931724548,0.553283484014903,0.07322592735290527,0.004531260679126176,1,16,"{'layers': 1, 'neurons': 16}",0.7913669064748201,0.7101449275362319,0.7971014492753623,0.7246376811594203,0.7753623188405797,0.7597226566572829,0.03558662233984468,8
39.08474955558777,0.6238860405768046,0.07314577102661132,0.004402632682844777,1,32,"{'layers': 1, 'neurons': 32}",0.7985611510791367,0.7391304347826086,0.7971014492753623,0.7318840579710145,0.7681159420289855,0.7669586070274216,0.02797599798265636,3
9.237105464935302,1.1411472615702511,0.07567400932312011,0.0015156654686348137,2,1,"{'layers': 2, 'neurons': 1}",0.6474820143884892,0.644927536231884,0.644927536231884,0.644927536231884,0.6521739130434783,0.6468877072255239,0.0028221971556447916,35
40.95283727645874,23.75785606118594,0.08535628318786621,0.013467172797144593,2,2,"{'layers': 2, 'neurons': 2}",0.7769784172661871,0.644927536231884,0.782608695652174,0.7463768115942029,0.7753623188405797,0.7452507559170056,0.05172036888310541,21
37.3178825378418,10.227920665755406,0.08770513534545898,0.009208554840966705,2,4,"{'layers': 2, 'neurons': 4}",0.7841726618705036,0.7536231884057971,0.8115942028985508,0.7536231884057971,0.7971014492753623,0.7800229381712022,0.02323589499094795,1
37.71372499465942,8.68181149638834,0.08257155418395996,0.004772826179686231,2,8,"{'layers': 2, 'neurons': 8}",0.7985611510791367,0.7608695652173914,0.782608695652174,0.7028985507246377,0.7753623188405797,0.7640600563027838,0.032902971594995674,5
59.195235109329225,18.90904852953149,0.08444447517395019,0.002923352661138513,2,16,"{'layers': 2, 'neurons': 16}",0.7769784172661871,0.7246376811594203,0.7898550724637681,0.7318840579710145,0.7681159420289855,0.7582942341778751,0.0255808996106857,10
44.96146645545959,0.6979573551464916,0.08571887016296387,0.006204210008093416,2,32,"{'layers': 2, 'neurons': 32}",0.7769784172661871,0.6884057971014492,0.7391304347826086,0.7246376811594203,0.7463768115942029,0.7351058283807737,0.02893793789125878,23
13.54905390739441,7.600369136323635,0.08854312896728515,0.0034100267514492206,3,1,"{'layers': 3, 'neurons': 1}",0.6474820143884892,0.7318840579710145,0.644927536231884,0.644927536231884,0.6521739130434783,0.6642790115733501,0.03390597003201421,34
24.797404956817626,14.439050103382579,0.08900103569030762,0.008640615738666525,3,2,"{'layers': 3, 'neurons': 2}",0.7769784172661871,0.7246376811594203,0.644927536231884,0.644927536231884,0.6521739130434783,0.6887290167865707,0.053386897024058466,30
31.548377180099486,10.456676519309674,0.08558049201965331,0.005710191365136716,3,4,"{'layers': 3, 'neurons': 4}",0.7769784172661871,0.7391304347826086,0.7681159420289855,0.7391304347826086,0.7246376811594203,0.749598582003962,0.01967108936866396,17
43.066069269180296,5.013343129847135,0.08441615104675293,0.006099629785690639,3,8,"{'layers': 3, 'neurons': 8}",0.7985611510791367,0.717391304347826,0.7681159420289855,0.7318840579710145,0.7391304347826086,0.7510165780419144,0.028951225987514196,15
49.69231948852539,0.46143170684066837,0.09366431236267089,0.0036055637243966455,3,16,"{'layers': 3, 'neurons': 16}",0.7338129496402878,0.717391304347826,0.782608695652174,0.7246376811594203,0.7681159420289855,0.7453133145657387,0.02549621201037628,20
52.74528484344482,2.789120040923267,0.08016529083251953,0.005484784167209035,3,32,"{'layers': 3, 'neurons': 32}",0.7266187050359713,0.717391304347826,0.7898550724637681,0.6666666666666666,0.6521739130434783,0.710541132311542,0.04884222624904904,26
13.204162073135375,2.0390974395155808,0.09764933586120605,0.009803120151004388,4,1,"{'layers': 4, 'neurons': 1}",0.6474820143884892,0.644927536231884,0.644927536231884,0.644927536231884,0.6521739130434783,0.6468877072255239,0.0028221971556447916,35
40.86210379600525,22.243981020344723,0.09933767318725586,0.013526020322419424,4,2,"{'layers': 4, 'neurons': 2}",0.7913669064748201,0.7246376811594203,0.7971014492753623,0.644927536231884,0.6521739130434783,0.7220414972369931,0.06523004099322476,25
35.103795766830444,5.759843198986572,0.09107413291931152,0.004632226700353708,4,4,"{'layers': 4, 'neurons': 4}",0.7985611510791367,0.7318840579710145,0.8188405797101449,0.717391304347826,0.7753623188405797,0.7684078823897404,0.03856869648637838,2
53.02633838653564,6.394092036081586,5.863316011428833,11.534812101105613,4,8,"{'layers': 4, 'neurons': 8}",0.8129496402877698,0.7246376811594203,0.7681159420289855,0.6811594202898551,0.7681159420289855,0.7509957251590031,0.04471319092257545,16
53.42279691696167,0.7480888050898937,0.09496946334838867,0.005874189933274277,4,16,"{'layers': 4, 'neurons': 16}",0.7122302158273381,0.6521739130434783,0.6811594202898551,0.6956521739130435,0.717391304347826,0.6917214054843083,0.02353960764072033,29
49.71856842041016,5.248833242841719,7.639155864715576,15.09170636757008,4,32,"{'layers': 4, 'neurons': 32}",0.697841726618705,0.6884057971014492,0.7028985507246377,0.644927536231884,0.7463768115942029,0.6960900844541758,0.032418615030262214,28
14.970871210098267,5.186124545677473,1.764183521270752,3.331713526551992,5,1,"{'layers': 5, 'neurons': 1}",0.6474820143884892,0.7463768115942029,0.644927536231884,0.644927536231884,0.6521739130434783,0.6671775622979877,0.03968796418909974,33
28.10166230201721,17.534129760129424,0.09191403388977051,0.0035898229804868062,5,2,"{'layers': 5, 'neurons': 2}",0.6474820143884892,0.7318840579710145,0.7608695652173914,0.7463768115942029,0.6521739130434783,0.7077572724429153,0.0482018730001087,27
42.164437198638915,13.081652449413902,0.09438176155090332,0.008345919443615549,5,4,"{'layers': 5, 'neurons': 4}",0.7841726618705036,0.7318840579710145,0.7536231884057971,0.7101449275362319,0.7536231884057971,0.746689604837869,0.02472183805385852,19
52.93555660247803,8.005176904081075,0.09894213676452637,0.011716684662189836,5,8,"{'layers': 5, 'neurons': 8}",0.7410071942446043,0.7101449275362319,0.7463768115942029,0.7028985507246377,0.7753623188405797,0.7351579605880512,0.02624038079735866,22
60.1541109085083,11.314602584606371,0.09338235855102539,0.007593833504456264,5,16,"{'layers': 5, 'neurons': 16}",0.7553956834532374,0.6811594202898551,0.7101449275362319,0.6594202898550725,0.6231884057971014,0.6858617453862997,0.04488619254427579,31
49.15860314369202,5.2558072009645995,6.077853775024414,11.966917921528566,5,32,"{'layers': 5, 'neurons': 32}",0.6834532374100719,0.6666666666666666,0.7028985507246377,0.6231884057971014,0.7463768115942029,0.6845167344385361,0.04060906340959549,32
